"","ID_REF","T.DP.Th_1","T.DP.Th_2","mean","stdiv"
"321","miR-150-5p",3325.069672,4644.158454,3984.614063,932.736622739304
"219","miR-195a-5p",4330.819257,2226.822539,3278.820898,1487.75034689204
"289","miR-181d-5p",3428.590808,2263.867583,2846.2291955,823.583690602965
"213","let-7d-5p",1958.40289,1828.888251,1893.6455705,91.5806794998277
"157","miR-16-5p",1146.998146,1901.489495,1524.2438205,533.505949224486
"146","miR-142a-3p",657.364659,2286.604781,1471.98472,1152.0467384474
"248","miR-20a-5p",1159.644741,1223.08825,1191.3664955,44.8613354361697
"196","let-7c-5p",1600.480697,761.2315596,1180.8561283,593.438756160501
"359","miR-1839-3p",1669.350187,499.2011783,1084.27568265,827.420299050486
"313","miR-106b-5p",1010.3294,830.6732645,920.50133225,127.036071693819
"317","miR-17-5p",885.6528079,942.2678446,913.96032625,40.0328763676953
"355","miR-181a-5p",840.9125798,761.2332757,801.07292775,56.3417762493351
"233","miR-181b-5p",985.1727928,573.8634943,779.51814355,290.839594134432
"243","miR-128-3p",790.7968628,713.7888384,752.2928506,54.4528962590191
"308","miR-23a-3p",692.2292927,656.161956,674.19562435,25.5034583599084
"253","miR-30c-5p",554.7917094,764.6116597,659.70168455,148.365109685354
"215","miR-26b-5p",520.6454403,585.3148819,552.9801611,45.7282006909074
"202","miR-20b-5p",382.3134213,672.961145,527.63728315,205.518976364704
"318","miR-30a-5p",559.8412178,389.9713068,474.9062623,120.116165987655
"244","miR-30e-5p",463.2851327,409.0627232,436.17392795,38.3410334497239
"295","miR-24-3p",443.3775467,359.9392653,401.658406,58.9997745884914
"3","miR-15b-5p",326.2379386,420.9213534,373.579646,66.9512846709787
"265","miR-27b-3p",324.5089559,382.6595305,353.5842432,41.1186656295542
"402","miR-26a-5p",257.5410016,448.2717855,352.90639355,134.867030676716
"223","let-7e-5p",402.8291731,295.1422378,348.98570545,76.146162195827
"227","let-7i-5p",348.762363,291.6519459,320.20715445,40.3831632078022
"180","let-7b-5p",140.7910477,455.8253326,298.30819015,222.762879159045
"288","miR-148a-3p",230.6701028,327.670309,279.1702059,68.5895035805134
