"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000000001.4",1300,1561,1284,1435,828,1914
"ENSMUSG00000000003.15",0,0,0,0,0,0
"ENSMUSG00000000028.15",205,265,304,271,149,241
"ENSMUSG00000000031.16",50,66,109,46,25,17
"ENSMUSG00000000037.17",16,25,27,25,11,20
"ENSMUSG00000000049.11",0,0,0,0,1,0
"ENSMUSG00000000056.7",925,962,937,924,628,1218
"ENSMUSG00000000058.6",2,1,0,2,1,3
"ENSMUSG00000000078.7",423,503,427,537,315,705
"ENSMUSG00000000085.16",406,471,445,379,228,463
"ENSMUSG00000000088.7",234,283,226,274,155,372
"ENSMUSG00000000093.6",1,5,1,6,3,8
"ENSMUSG00000000094.12",0,0,0,0,0,0
"ENSMUSG00000000103.12",0,0,0,0,0,0
"ENSMUSG00000000120.6",4,4,1,4,2,5
"ENSMUSG00000000125.5",0,1,1,2,0,0
"ENSMUSG00000000126.11",0,2,0,2,0,0
"ENSMUSG00000000127.15",16,16,14,12,9,18
"ENSMUSG00000000131.15",1726,2046,2082,1987,1181,2215
"ENSMUSG00000000134.17",90,103,112,79,49,85
"ENSMUSG00000000142.15",244,287,349,227,138,207
"ENSMUSG00000000148.17",226,274,306,263,154,259
"ENSMUSG00000000149.10",163,173,180,133,89,162
"ENSMUSG00000000154.16",0,0,0,1,0,0
"ENSMUSG00000000157.16",2,3,7,9,5,5
"ENSMUSG00000000159.16",0,0,0,0,0,0
"ENSMUSG00000000167.14",8,8,11,7,5,6
"ENSMUSG00000000168.9",195,217,197,196,123,258
"ENSMUSG00000000171.5",294,409,362,349,171,384
"ENSMUSG00000000182.9",0,0,0,0,0,0
"ENSMUSG00000000183.6",1,1,0,0,0,0
"ENSMUSG00000000184.12",1456,1443,1726,974,695,1095
"ENSMUSG00000000194.13",678,801,868,802,481,840
"ENSMUSG00000000197.8",0,0,1,0,0,0
"ENSMUSG00000000202.9",0,2,0,0,0,0
"ENSMUSG00000000204.16",13,16,20,32,21,31
"ENSMUSG00000000214.11",1,0,0,0,0,0
"ENSMUSG00000000215.11",0,0,0,1,0,0
"ENSMUSG00000000216.8",0,0,1,0,1,0
"ENSMUSG00000000223.13",16,11,19,10,11,11
