"","WT_1411","WT_1601","WT_1710","KO_1411","KO_1601","KO_1710"
"ENSMUSG00000000001.4",5647,5703,3586,3716,5361,1326
"ENSMUSG00000000003.15",0,0,0,0,0,0
"ENSMUSG00000000028.15",1672,1811,1098,1029,1386,355
"ENSMUSG00000000031.16",5,8,5,7,6,2
"ENSMUSG00000000037.17",21,35,27,27,24,2
"ENSMUSG00000000049.11",1,2,1,0,2,0
"ENSMUSG00000000056.7",2391,2147,1252,1279,2099,560
"ENSMUSG00000000058.6",6,8,3,1,4,3
"ENSMUSG00000000078.7",994,1055,578,1003,1376,391
"ENSMUSG00000000085.16",498,515,368,334,471,99
"ENSMUSG00000000088.7",2532,2541,1630,1481,2150,521
"ENSMUSG00000000093.6",0,3,0,4,2,1
"ENSMUSG00000000094.12",0,0,0,0,0,0
"ENSMUSG00000000103.12",0,0,0,0,0,0
"ENSMUSG00000000120.6",11,6,6,0,8,0
"ENSMUSG00000000125.5",3,2,3,1,3,0
"ENSMUSG00000000126.11",0,2,0,0,1,2
"ENSMUSG00000000127.15",35,39,24,36,48,12
"ENSMUSG00000000131.15",2057,2187,1287,1347,1848,489
"ENSMUSG00000000134.17",206,178,112,88,151,38
"ENSMUSG00000000142.15",425,351,236,161,288,68
"ENSMUSG00000000148.17",750,709,415,444,687,184
"ENSMUSG00000000149.10",129,152,89,87,106,28
"ENSMUSG00000000154.16",8,6,5,3,6,0
"ENSMUSG00000000157.16",37,30,21,36,63,15
"ENSMUSG00000000159.16",0,0,0,0,0,0
"ENSMUSG00000000167.14",10,23,6,16,8,7
"ENSMUSG00000000168.9",1135,1265,690,622,811,233
"ENSMUSG00000000171.5",1271,1322,652,792,1108,349
"ENSMUSG00000000182.9",1,1,0,0,1,0
"ENSMUSG00000000183.6",0,1,0,0,0,0
"ENSMUSG00000000184.12",2671,2461,1839,1231,1927,398
"ENSMUSG00000000194.13",1363,1340,763,744,1107,303
"ENSMUSG00000000197.8",0,1,0,1,1,0
"ENSMUSG00000000202.9",2,0,0,0,0,0
"ENSMUSG00000000204.16",1,1,0,4,4,1
"ENSMUSG00000000214.11",0,0,0,0,0,0
"ENSMUSG00000000215.11",0,0,0,0,1,0
"ENSMUSG00000000216.8",7,5,1,2,5,0
"ENSMUSG00000000223.13",10,12,3,4,4,4
"ENSMUSG00000000244.17",721,462,244,106,307,92
"ENSMUSG00000000247.11",18,25,20,22,24,3
"ENSMUSG00000000248.16",1,1,1,0,3,0
"ENSMUSG00000000253.13",145,129,78,59,100,27
"ENSMUSG00000000263.15",0,0,1,0,0,0
"ENSMUSG00000000266.11",3,6,4,6,6,0
"ENSMUSG00000000275.16",3297,3126,1949,1801,2770,693
"ENSMUSG00000000276.11",3958,4050,2406,1743,2484,651
"ENSMUSG00000000278.10",238,252,145,124,170,47
"ENSMUSG00000000282.12",471,496,301,252,349,89
"ENSMUSG00000000290.13",16421,14225,9004,7277,12313,3042
"ENSMUSG00000000295.13",410,435,248,213,292,81
