"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT752260","mmu","mmu","mmu-miR-181d","Ap1g1","0","0","0","0","0","0","0","1","1","1"
"MIRT752261","mmu","mmu","mmu-miR-181a","Ap1g1","0","0","0","0","0","0","0","1","1","1"
"MIRT752262","mmu","mmu","mmu-miR-181c","Ap1g1","0","0","0","0","0","0","0","1","1","1"
"MIRT752263","mmu","mmu","mmu-miR-181b","Ap1g1","0","0","0","0","0","0","0","1","1","1"
"MIRT746723","mmu","mmu","mmu-miR-181c","Aqp3","0","0","0","0","0","0","0","1","1","2"
"MIRT746724","mmu","mmu","mmu-miR-181d","Aqp3","0","0","0","0","0","0","0","1","1","2"
"MIRT746725","mmu","mmu","mmu-miR-181b","Aqp3","0","0","0","0","0","0","0","1","1","2"
"MIRT746726","mmu","mmu","mmu-miR-181a","Aqp3","0","0","0","0","0","0","0","1","1","2"
"MIRT750537","mmu","mmu","mmu-miR-181a","Atp2a2","0","0","0","0","0","0","0","1","1","1"
"MIRT750538","mmu","mmu","mmu-miR-181b","Atp2a2","0","0","0","0","0","0","0","1","1","1"
"MIRT750539","mmu","mmu","mmu-miR-181c","Atp2a2","0","0","0","0","0","0","0","1","1","1"
"MIRT750540","mmu","mmu","mmu-miR-181d","Atp2a2","0","0","0","0","0","0","0","1","1","1"
"MIRT749489","mmu","mmu","mmu-miR-181d","Ebf3","0","0","0","0","0","0","0","1","1","1"
"MIRT749490","mmu","mmu","mmu-miR-181c","Ebf3","0","0","0","0","0","0","0","1","1","1"
"MIRT749491","mmu","mmu","mmu-miR-181b","Ebf3","0","0","0","0","0","0","0","1","1","1"
"MIRT749492","mmu","mmu","mmu-miR-181a","Ebf3","0","0","0","0","0","0","0","1","1","1"
"MIRT748171","mmu","mmu","mmu-miR-181c","H2-D1","0","0","0","0","0","0","0","1","1","1"
"MIRT748172","mmu","mmu","mmu-miR-181d","H2-D1","0","0","0","0","0","0","0","1","1","1"
"MIRT748173","mmu","mmu","mmu-miR-181a","H2-D1","0","0","0","0","0","0","0","1","1","1"
"MIRT748174","mmu","mmu","mmu-miR-181b","H2-D1","0","0","0","0","0","0","0","1","1","1"
"MIRT753388","mmu","mmu","mmu-miR-181c","Magea5","0","0","0","0","0","0","0","1","1","1"
"MIRT753389","mmu","mmu","mmu-miR-181a","Magea5","0","0","0","0","0","0","0","1","1","1"
"MIRT753390","mmu","mmu","mmu-miR-181b","Magea5","0","0","0","0","0","0","0","1","1","1"
"MIRT753391","mmu","mmu","mmu-miR-181d","Magea5","0","0","0","0","0","0","0","1","1","1"
"MIRT751022","mmu","mmu","mmu-miR-181d","Rad51l3","0","0","0","0","0","0","0","1","1","1"
"MIRT751023","mmu","mmu","mmu-miR-181a","Rad51l3","0","0","0","0","0","0","0","1","1","1"
"MIRT751024","mmu","mmu","mmu-miR-181c","Rad51l3","0","0","0","0","0","0","0","1","1","1"
"MIRT751025","mmu","mmu","mmu-miR-181b","Rad51l3","0","0","0","0","0","0","0","1","1","1"
"MIRT745073","mmu","mmu","mmu-miR-181b","Smarca4","0","0","0","0","0","0","0","1","1","5"
"MIRT745074","mmu","mmu","mmu-miR-181d","Smarca4","0","0","0","0","0","0","0","1","1","5"
"MIRT745075","mmu","mmu","mmu-miR-181a","Smarca4","0","0","0","0","0","0","0","1","1","5"
"MIRT745076","mmu","mmu","mmu-miR-181c","Smarca4","0","0","0","0","0","0","0","1","1","5"
"MIRT753021","mmu","mmu","mmu-miR-181d","Spp1","0","0","0","0","0","0","0","1","1","1"
"MIRT753022","mmu","mmu","mmu-miR-181b","Spp1","0","0","0","0","0","0","0","1","1","1"
"MIRT753023","mmu","mmu","mmu-miR-181a","Spp1","0","0","0","0","0","0","0","1","1","1"
"MIRT753024","mmu","mmu","mmu-miR-181c","Spp1","0","0","0","0","0","0","0","1","1","1"
"MIRT753544","mmu","mmu","mmu-miR-181d","Tulp3","0","0","0","0","0","0","0","1","1","1"
"MIRT753545","mmu","mmu","mmu-miR-181c","Tulp3","0","0","0","0","0","0","0","1","1","1"
"MIRT753546","mmu","mmu","mmu-miR-181a","Tulp3","0","0","0","0","0","0","0","1","1","1"
"MIRT753547","mmu","mmu","mmu-miR-181b","Tulp3","0","0","0","0","0","0","0","1","1","1"
"MIRT743117","mmu","mmu","mmu-miR-181a","Ikzf2","0","0","0","0","0","0","0","1","1","2"
"MIRT743118","mmu","mmu","mmu-miR-181b","Ikzf2","0","0","0","0","0","0","0","1","1","2"
"MIRT743119","mmu","mmu","mmu-miR-181c","Ikzf2","0","0","0","0","0","0","0","1","1","2"
"MIRT743120","mmu","mmu","mmu-miR-181d","Ikzf2","0","0","0","0","0","0","0","1","1","2"
"MIRT742728","mmu","mmu","mmu-miR-181c","Ms4a4c","0","0","0","0","0","0","0","1","1","3"
"MIRT742729","mmu","mmu","mmu-miR-181d","Ms4a4c","0","0","0","0","0","0","0","1","1","3"
"MIRT742730","mmu","mmu","mmu-miR-181b","Ms4a4c","0","0","0","0","0","0","0","1","1","3"
"MIRT742731","mmu","mmu","mmu-miR-181a","Ms4a4c","0","0","0","0","0","0","0","1","1","3"
"MIRT749524","mmu","mmu","mmu-miR-181d","Nacc1","0","0","0","0","0","0","0","1","1","1"
"MIRT749525","mmu","mmu","mmu-miR-181a","Nacc1","0","0","0","0","0","0","0","1","1","1"
"MIRT749526","mmu","mmu","mmu-miR-181b","Nacc1","0","0","0","0","0","0","0","1","1","1"
"MIRT749527","mmu","mmu","mmu-miR-181c","Nacc1","0","0","0","0","0","0","0","1","1","1"
"MIRT748368","mmu","mmu","mmu-miR-181a","Lnp","0","0","0","0","0","0","0","1","1","2"
"MIRT748369","mmu","mmu","mmu-miR-181b","Lnp","0","0","0","0","0","0","0","1","1","2"
"MIRT748370","mmu","mmu","mmu-miR-181c","Lnp","0","0","0","0","0","0","0","1","1","2"
"MIRT748371","mmu","mmu","mmu-miR-181d","Lnp","0","0","0","0","0","0","0","1","1","2"
"MIRT745439","mmu","mmu","mmu-miR-181d","Zfp689","0","0","0","0","0","0","0","1","1","1"
"MIRT745440","mmu","mmu","mmu-miR-181c","Zfp689","0","0","0","0","0","0","0","1","1","1"
"MIRT745441","mmu","mmu","mmu-miR-181b","Zfp689","0","0","0","0","0","0","0","1","1","1"
"MIRT745442","mmu","mmu","mmu-miR-181a","Zfp689","0","0","0","0","0","0","0","1","1","1"
"MIRT752824","mmu","mmu","mmu-miR-181a","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT752825","mmu","mmu","mmu-miR-181c","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT752826","mmu","mmu","mmu-miR-181d","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT752827","mmu","mmu","mmu-miR-181b","Osbpl3","0","0","0","0","0","0","0","1","1","1"
"MIRT743522","mmu","mmu","mmu-miR-181a","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT743523","mmu","mmu","mmu-miR-181d","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT743524","mmu","mmu","mmu-miR-181b","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT743525","mmu","mmu","mmu-miR-181c","4930563E22Rik","0","0","0","0","0","0","0","1","1","1"
"MIRT750709","mmu","mmu","mmu-miR-181c","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT750710","mmu","mmu","mmu-miR-181d","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT750711","mmu","mmu","mmu-miR-181b","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT750712","mmu","mmu","mmu-miR-181a","Fam122b","0","0","0","0","0","0","0","1","1","1"
"MIRT751188","mmu","mmu","mmu-miR-181b","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT751189","mmu","mmu","mmu-miR-181a","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT751190","mmu","mmu","mmu-miR-181c","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT751191","mmu","mmu","mmu-miR-181d","Trim2","0","0","0","0","0","0","0","1","1","1"
"MIRT752962","mmu","mmu","mmu-miR-181a","Sgpp1","0","0","0","0","0","0","0","1","1","1"
"MIRT752963","mmu","mmu","mmu-miR-181b","Sgpp1","0","0","0","0","0","0","0","1","1","1"
"MIRT752964","mmu","mmu","mmu-miR-181d","Sgpp1","0","0","0","0","0","0","0","1","1","1"
