"","log2FoldChange","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","padj","gene_symbol"
"Ctse",-2.89461925302461,4.9035727352925,-28.8416565630297,1.4932539599626e-09,8.17108566891533e-06,10.0647216759449,"Ctse",3,-24.8951579561496,4.30645975648555e-09,2.35649477874889e-05,"Ctse"
"Gnb4",1.42410476027126,6.88758863977119,18.76505102181,4.86699329903719e-08,0.000133160936661658,8.26198899881399,"Gnb4",6,19.3072892267363,3.43712810950831e-08,9.40398250761474e-05,"Gnb4"
"Chdh",0.768162524122209,10.8540217078153,11.5641759133769,2.27238774288839e-06,0.00310862643227132,5.37146080558634,"Chdh",23,14.453544270648,3.56708849908095e-07,0.000650636942232365,"Chdh"
"Rnpep",0.633374984531677,8.94026347287424,10.1696781147118,6.13903217052512e-06,0.00333862545442683,4.49785257331415,"Rnpep",12,11.8429848311047,1.73858001612594e-06,0.00185757456423569,"Rnpep"
"Fgg",0.821130324820684,5.8152090555924,10.3742130814948,5.26809947089336e-06,0.00333862545442683,4.6350737867052,"Fgg",2,11.7078844415628,1.90300728388274e-06,0.00185757456423569,"Fgg"
"Mpp7",1.53513744610833,5.14164584143526,12.7947360834893,1.02958555019007e-06,0.00187796404354668,6.03471168429963,"Mpp7",3,11.5061086874046,2.18181555778585e-06,0.00185757456423569,"Mpp7"
"Adss2",-1.09678425321261,9.79648928229674,-10.526836793461,4.70774001130567e-06,0.00333862545442683,4.73533001053103,"Adss2",14,-11.1381422306749,2.81537751704112e-06,0.00185757456423569,"Adss2"
"Satb1",-0.319978630811743,11.992409882092,-6.45656616493673,0.000174973296196569,0.0258771318050709,1.30208465754761,"Satb1",37,-10.9077497787379,3.31531999795194e-06,0.00185757456423569,"Satb1"
"Camk2d",0.488920445591914,9.3822277651125,8.88382489282426,1.71489278429133e-05,0.00586493332227634,3.55357842400014,"Camk2d",12,10.882782546647,3.37518673999654e-06,0.00185757456423569,"Camk2d"
"As3mt",0.652659147178458,8.61381318257047,10.7007433842429,4.14868743240353e-06,0.00333862545442683,4.84739631267253,"As3mt",11,10.7467284460773,3.7233169926048e-06,0.00185757456423569,"As3mt"
"Fscn1",-0.918320786307432,8.37189892103656,-10.2510838808687,5.77452230159491e-06,0.00333862545442683,4.55286565333309,"Fscn1",12,-10.7427212290617,3.73415939447965e-06,0.00185757456423569,"Fscn1"
"Oxct1",0.473134507746455,10.130238192339,8.23971173007898,3.00887486473891e-05,0.00914697958880629,3.02166176780239,"Oxct1",17,10.4447676034088,4.64802557011457e-06,0.00211949965997224,"Oxct1"
"Ankmy2",0.807459383149547,6.6070669238682,10.9791868605062,3.40111578894597e-06,0.00333862545442683,5.02215180107756,"Ankmy2",4,10.18582128169,5.64729450345857e-06,0.00232025564041268,"Ankmy2"
"Me2",0.486234161854297,10.2864630246262,7.7990821077127,4.51321840299139e-05,0.0116566217744985,2.63230895382062,"Me2",20,10.0606346764426,6.21437588634121e-06,0.00232025564041268,"Me2"
"Samhd1",-0.773997163226358,10.0901771058142,-9.03402021463457,1.51150729672416e-05,0.0056168626448149,3.67163615622885,"Samhd1",19,-10.0304605098512,6.36034989148212e-06,0.00232025564041268,"Samhd1"
"Ckb",-1.13717038182605,7.59986583261739,-9.60454716635289,9.50364144952299e-06,0.00400030200090691,4.10085492930989,"Ckb",9,-9.64968970774077,8.57077896810214e-06,0.00254335825080814,"Ckb"
"Myef2",-0.465466367641199,9.92065076915016,-7.59954630631757,5.45533929699933e-05,0.0128599598048627,2.44873724239581,"Myef2",19,-9.64938348984942,8.57286964658748e-06,0.00254335825080814,"Myef2"
"Igf2r",-0.520616760066444,8.32054343189927,-8.52736038637291,2.33077458066323e-05,0.00750235206199363,3.26447293290781,"Igf2r",15,-9.64796309502994,8.58257469228594e-06,0.00254335825080814,"Igf2r"
"Wrn",1.86218169183374,4.24260480186056,10.0521291159597,6.71141812841651e-06,0.00333862545442683,4.41746979300731,"Wrn",5,9.61218502898663,8.83110503752825e-06,0.00254335825080814,"Wrn"
"Aldh1b1",0.415915325499482,9.56561315405339,7.20002186806882,8.06936985381563e-05,0.0164985145903726,2.06686793935404,"Aldh1b1",16,9.44666766840978,1.00898455345262e-05,0.00266853971318526,"Aldh1b1"
"Gcdh",-0.766625131159508,8.13684776711506,-9.66085748776337,9.08981799108244e-06,0.00400030200090691,4.14163039600913,"Gcdh",8,-9.4283352000337,1.02411063554259e-05,0.00266853971318526,"Gcdh"
"Gfpt1",0.410841141596819,9.11242305609757,7.56486325088897,5.64033324774682e-05,0.0128599598048627,2.41635200687036,"Gfpt1",15,9.12011111628977,1.3201348327031e-05,0.00328353536570516,"Gfpt1"
"Focad",0.568572497330463,5.86164760268076,9.01189445595499,1.53971015482865e-05,0.0056168626448149,3.65438117626192,"Focad",6,8.6533296499081,1.96650280406243e-05,0.00447590186939185,"Focad"
"Ass1",-0.447484167404591,10.3262001779815,-7.15497535321436,8.44222237811464e-05,0.0164985145903726,2.02257686437957,"Ass1",12,-8.60346271089083,2.05417462509436e-05,0.00447590186939185,"Ass1"
"Vwa5a",0.416341403986154,8.70796546673986,7.17304795301438,8.29039553305863e-05,0.0164985145903726,2.0403770668922,"Vwa5a",13,8.57904403872468,2.09867910522527e-05,0.00447590186939185,"Vwa5a"
"Dock10",0.366937312328604,9.21703021033541,6.72106778848071,0.000131915337121306,0.0212306095508172,1.58258397100011,"Dock10",31,8.56395809538926,2.12670775957946e-05,0.00447590186939185,"Dock10"
"Acads",0.349742025073528,10.2150561756369,6.42137400998955,0.000181786734563532,0.0261772897771487,1.26403943690386,"Acads",16,8.42220418062067,2.41132895619698e-05,0.00488696001789254,"Acads"
"Ciapin1",0.86541098541381,9.18986117687984,8.05653501202869,3.55360857434235e-05,0.00972267305940068,2.86242019043215,"Ciapin1",8,8.33245952336985,2.61323423768004e-05,0.00510700633878042,"Ciapin1"
"MLV-related proviral Env polyprotein OS=Mus musculus OX=10090",2.96490804600046,6.9253589589412,8.1099339655299,3.38429396510111e-05,0.00972267305940068,2.90922051268806,"MLV-related proviral Env polyprotein OS=Mus musculus OX=10090",6,8.14910859776681,3.08659251453789e-05,0.00582408077225907,"MLV-related proviral Env polyprotein OS=Mus musculus OX=10090"
"Itpr2",0.333744563539831,11.7056210057316,5.6510653675728,0.000435896877885687,0.0361398138756133,0.386778133263916,"Itpr2",67,7.98144732725428,3.60365457772402e-05,0.00623987903309639,"Itpr2"
"Flna",-0.215147834058437,13.1681414749066,-4.30019817409943,0.00245531231399346,0.0967416009554852,-1.36967073160404,"Flna",92,-7.96531322628778,3.65826457818648e-05,0.00623987903309639,"Flna"
"Tor1aip1",-0.295089186017218,10.2539965156224,-6.04278553571842,0.000276799825754241,0.0296989930691609,0.843689613340596,"Tor1aip1",16,-7.94238646698174,3.73744808001844e-05,0.00623987903309639,"Tor1aip1"
"Lpxn",0.680728768629267,6.25583083081519,7.75910438790049,4.68650729237876e-05,0.0116566217744985,2.5959007170219,"Lpxn",7,7.93507858244144,3.76308494320506e-05,0.00623987903309639,"Lpxn"
"Slc25a12",0.261208582922791,10.9646161557254,5.16905682110708,0.000783978263039123,0.0510705839922628,-0.207366598213143,"Slc25a12",23,7.73445761473587,4.54885005052167e-05,0.00732097278719253,"Slc25a12"
"Pdpr",0.342702137212033,7.53674551139952,6.24429241650392,0.000220812109358722,0.0287686633907363,1.06996707139337,"Pdpr",12,7.49390060114486,5.73962046702264e-05,0.0089734866272994,"Pdpr"
"Macf1",-0.274328299606456,10.3914502731375,-4.90544371454277,0.0010957168351994,0.0587819855118739,-0.547573095291255,"Macf1",76,-7.40560999315273,6.2599989538049e-05,0.00940062174893145,"Macf1"
"Shc1",0.385808624019685,7.33597569236486,7.02279032450638,9.65077721631684e-05,0.0176030176425619,1.89112349538888,"Shc1",7,7.39014363436521,6.35641455976724e-05,0.00940062174893145,"Shc1"
"Gls",0.394962477493001,9.95058587931596,6.05340126446711,0.000273489385190725,0.0296989930691609,0.855756764486881,"Gls",17,7.29612220825224,6.97902113777773e-05,0.00995138519540487,"Gls"
