ID_REF	SPOT_ID	miRNA_pre_accession	miRNA_id	premiRNA	miR_family	featurePos	plate_no	MF.PC_1	MF.PC_2	MF.PC_3	MF.PC_4	MF.fem.PC_1	MF.pIC.PC_1	MF.pIC.PC_2	MF.Alv.Lu_1	MF.Alv.Lu_2	MF.pIC.Alv.Lu_1	MF.pIC.Alv.Lu_2	MF.RP.Sp_1	MF.RP.Sp_2	MF.LI_1	MF.LI_2	MF.SI_1	MF.SI_2	MF.microglia.CNS_1	MF.microglia.CNS_2	Mo.6C+II-.Bl_1	Mo.6C+II-.Bl_2	Mo.6C-II-.Bl_1	Mo.6C-II-.Bl_2	Mo.6C+II-.BM_1	Mo.6C+II-.BM_2	DC.Sp_1	DC.Sp_2	DC.Sp_3	GN.Sp_1	GN.Sp_2	GN.Sp_3	GN.Sp_4	GN.fem.Sp_1	MC.PC_1	MC.PC_2	MC.IgE.PC_1	MC.IgEX.PC_1	MC.IgEX.PC_2	B.fem.Sp_1	B.Sp_1	B.Sp_2	B.Sp_3	B.Sp_4	B.93+.Sp_1	B.93+.Sp_2	B.93-.Sp_1	B.93-.Sp_2	B.Fo.Sp_1	B.Fo.Sp_2	B.Fo.aIgM.Sp_1	B.Fo.aIgM.Sp_2	B1b.PC_1	B1b.PC_2	B1b.PC_3	B1b.PC_4	B1b.PC_5	B1b.aIgM.PC_1	B1b.aIgM.PC_2	T.DP.Th_1	T.DP.Th_2	T4.Nve.Sp_1	T4.Nve.Sp_2	T4.Nve.Sp_3	T4.Nve.Sp_4	T4.Vb8-.SEB.Sp_1	T4.Vb8-.SEB.Sp_2	T4.Vb8+.SEB.Sp_1	T4.Vb8+.SEB.Sp_2	Treg.4.25hi.Sp_1	Treg.4.25hi.Sp_2	Treg.4.25hi.Sp_3	Treg.4.FP3+.Co_1	Treg.4.FP3+.Co_2	T8.Nve.Sp_1	T8.Nve.Sp_2	T8.Nve.Sp_3	T8.OT1.Sp_1	T8.OT1.Sp_2	T8.TE.LisOVA.d8.Sp_1	T8.TE.LisOVA.d8.Sp_2	T8.MP.LisOVA.d8.Sp_1	T8.MP.LisOVA.d8.Sp_2	T8.mem.LisOVA.d60.Sp_1	T8.mem.LisOVA.d60.Sp_2	Tgd.Sp_1	Tgd.Sp_2	Tgd.Sp_3	Tgd.CCR6+.LN_1	Tgd.CCR6+.LN_2	Tgd.CCR6+.aCD3.LN_1	Tgd.CCR6+.aCD3.LN_2	Tgd.27+.LN_1	Tgd.27+.aCD3.LN_1	Tgd.27+.aCD3.LN_2	NK.Sp_1	NK.Sp_2	NK.Sp_3	NK.Sp_4	NK.Sp_5	NK.MCMV.Sp_1	NK.MCMV.Sp_2	NK.49b+.Lv_1	NK.49b+.Lv_2	NK.49b+.MCMV.Lv_1	NK.49b+.MCMV.Lv_2	NK.49b-.Lv_1	NK.49b-.Lv_2	NK.49b-.MCMV.Lv_1	NKT.Sp_1	NKT.Sp_2	NKT.Sp_3	NKT.Sp_4	NKT.Sp_5	NKT.Sp.LPS.h3.50_1	NKT.Sp.LPS.h3.50_2	NKT.Sp.LPS.d1.50_1	NKT.Sp.LPS.d1.50_2	NKT.Sp.LPS.d3.50_1	NKT.Sp.LPS.d3.50_2	NKT.Sp.LPS.h3.165_1	NKT.Sp.LPS.h3.165_2	NKT.Sp.LPS.d1.165_1	NKT.Sp.LPS.d1.165_2	NKT.Sp.LPS.d3.165_1	NKT.Sp.LPS.d3.165_2	BEC.SLN_1	BEC.SLN_2	BEC.LCMV.SLN_1	BEC.LCMV.SLN_2	DN.SLN_1	DN.SLN_2	DN.LCMV.SLN_1	DN.LCMV.SLN_2	FRC.SLN_1	FRC.SLN_2	FRC.LCMV.SLN_1	FRC.LCMV.SLN_2	LEC.SLN_1	LEC.SLN_2	LEC.LCMV.SLN_1	LEC.LCMV.SLN_2
miR-183-5p	mmu-miR-183-5p	MI0000225	MIMAT0000212	mir-183	miR-183-5p	A1	1	0.117230541	0.100039096	0.100057409	0.160566943	0.100140469	0.127202346	0.100350879	0.100203083	0.112302498	0.10828106	0.38384532	0.122851649	0.124987963	0.310998977	0.121184851	0.133184534	0.100039339	0.100316621	0.420262112	0.243386768	0.176774684	0.136968371	0.108149125	0.108147406	0.118400184	0.181759911	0.158078135	0.139704146	0.100086597	0.100234373	0.100156414	0.117602115	0.173538357	0.284140688	0.21605097	0.170924383	0.101288774	0.161848	0.102130408	0.108341442	0.146469876	0.146849449	0.262282378	0.368367777	0.103377633	0.286093669	0.101455891	0.101487873	0.112876744	1.640466037	0.111805035	0.247142544	0.539583131	0.441333955	0.312609964	0.329298032	0.194566714	0.106137725	0.361318314	0.107932194	0.731512927	0.864350773	0.518977334	0.81346274	2.173688047	0.163389977	1.025937583	0.389143437	0.684932282	1.380480793	0.612387614	6.266768039	6.192780325	0.687493315	0.896922052	0.611714643	0.373626349	0.423944037	3.604758159	6.623292849	2.914563721	13.7582432	1.52711488	1.662225727	0.508232856	0.838717839	0.589227198	10.62148842	2.014213671	2.333008159	2.742334587	0.140986863	0.133687836	0.975144706	0.152810828	0.100047815	0.134544037	0.191494295	0.286119596	0.111084224	0.101076536	0.568350306	0.10137507	0.102774201	0.100566734	0.984887168	0.100822773	0.192508656	0.299288434	0.226333378	0.289470946	1.833856368	0.274701067	0.100828159	0.712738983	0.23261718	1.08526295	0.387826438	0.344070335	0.1096295	1.185632854	0.105020538	1.437941278	1.098407032	0.108004615	0.279883948	0.416777067	0.100277772	0.108809698	0.45613826	0.128495034	0.157804146	1.222000517	0.621699832	0.102189102	0.150025998	1.16325491	0.509966678	0.115967335	0.166647983	0.653292289
miR-877-5p	mmu-miR-877-5p	MI0005553	MIMAT0004861	mir-877	miR-877-5p	A2	1	0.667882999	0.858678612	0.75592535	0.822231172	0.182994696	2.467517005	0.147485511	0.471442997	0.290610861	0.301588547	0.594800631	2.15926841	0.8923432	1.251962476	0.426008218	2.592487102	0.143266605	2.995908233	4.813147893	1.998456297	0.985714759	1.753972712	1.717304465	1.149295897	1.001633802	1.592036579	1.402469662	1.841462067	0.654882676	1.872028845	1.274371699	0.697409473	0.101358337	1.945976445	2.382860476	1.712127371	2.397474072	1.160206038	0.102130408	1.637297788	2.02649985	1.253646612	1.508140317	1.102627468	0.5289003	0.692722601	0.598785615	0.101487873	0.112876744	4.973025597	0.135995349	1.117625147	1.409084994	1.194790741	1.29076241	1.510710315	0.21147015	0.266459731	0.165884012	0.99125719	0.960380076	1.504981016	1.540726297	0.644823374	1.044522256	0.34446477	0.330258579	0.382011213	1.106586645	1.38075898	0.873137485	0.707579981	0.139164292	1.750534551	1.810979608	1.270948948	0.535659356	0.915371751	0.583822325	3.079404865	0.100332761	1.543759372	1.213700948	0.599538416	1.207500422	1.798957094	1.01658028	2.553170436	0.952685564	1.120094366	1.065247636	0.184350155	1.746695908	0.540717257	1.041593033	1.269734191	0.939936908	2.162580111	0.100531836	2.960453336	0.101076536	2.30746827	0.10137507	0.306854322	1.16642012	0.813474047	0.302349542	0.102042233	1.151296759	1.717555463	1.07565589	0.896457479	1.008018597	0.240446525	0.466173278	0.106182039	0.839184763	0.100914513	1.089860354	0.1096295	0.939625565	0.115722305	1.437941278	0.482279568	0.108004615	0.148470522	0.108796492	0.100277772	0.421409681	0.297247929	0.14091295	0.312355278	1.022567625	0.746713463	0.690793639	0.176488442	0.932102337	0.531937076	0.115967335	0.206898136	0.144243197
miR-15b-5p	mmu-miR-15b-5p	MI0000140	MIMAT0000124	mir-15b	miR-15-5p/16-5p/195-5p/322-5p/497-5p	A3	1	119.4682028	85.06355059	17.79576054	231.4863834	125.6034048	602.6792252	50.87243085	380.4585198	170.2049147	164.7915279	202.1680103	106.5350792	25.46045306	440.318893	35.24183339	582.567719	27.10437028	284.5777832	555.1717355	13.16944296	116.9682502	24.12213764	94.25751531	267.8382556	193.3101863	48.85714212	159.7977528	48.04805639	117.4424067	130.2743244	230.8733443	300.5787935	179.3005928	27.30740361	92.93367966	67.43512294	243.668797	50.28750809	37.55066711	212.5983712	291.6637769	263.2575044	53.18687323	69.30291058	228.8964541	380.8785937	148.3411561	82.03083066	127.5620132	1401.22363	80.0972452	156.9759399	361.8702301	183.2579253	123.8495747	103.7146215	7566.322551	90.36507461	326.2379386	420.9213534	388.0957449	327.5506794	549.8512995	239.6502013	2810.324648	412.1521695	576.0360982	476.7390791	149.6885526	294.8414672	1713.87742	90.07954163	41.09332618	179.808637	661.9681009	334.3889455	499.783987	649.1448648	269.3569744	397.7857068	22.48707013	217.0204051	436.2110628	103.2977487	378.7904516	443.0111718	178.752507	209.7981344	88.73576695	130.1487678	140.6676073	166.5611553	1162.399322	424.3713489	15.88336488	250.1174721	292.4753443	476.924481	51.34941484	361.8324932	37.16892497	701.7842791	95.12236747	192.3809851	22.68708131	493.7352369	69.52909892	99.9023067	45.52312359	82.20930053	85.02290563	223.9959238	34.41995394	24.73779388	154.6354667	20.38328327	1086.883387	42.15255681	110.5847848	10.87947309	184.1454306	110.9113612	764.7925439	279.7296486	43.66351593	34.892933	31.36870919	6.358067706	26.28893925	1.729586387	11.78420778	6.684054279	16.56444278	165.1766853	25.73732262	21.54621756	108.6031457	108.2874326	81.62960612	128.4018131	77.97573525
miR-9-3p	mmu-miR-9-3p	MI0000157;MI0000720;MI0000721	MIMAT0000143;MIMAT0000143_1;MIMAT0000143_2	mir-9-2;mir-9-1;mir-9-3	miR-9-3p;miR-9-3p;miR-9-3p	A4	1	0.110329857	0.106059616	0.100057409	0.100091484	0.100140469	0.10142457	0.100350879	0.100203083	0.100334671	0.100081639	0.100265637	0.112408409	0.106562775	0.132091045	0.100075169	0.12577405	0.100039339	5.284353279	6.842511523	0.147082571	0.110285767	0.290047778	0.108353763	0.100845256	0.11052784	0.108936107	0.158026692	0.100284922	0.100086597	0.100234373	0.100156414	0.113875027	0.101358337	0.137443936	0.117114771	0.149390804	0.142749937	0.135908531	0.102130408	0.100079662	0.100079096	0.100079727	0.113100188	0.100276592	0.103377633	0.154344283	0.101455891	0.101487873	0.112876744	0.127961301	0.111805035	0.100074961	0.102387555	0.10013654	0.102185361	0.115953148	0.100379985	0.100917119	0.101725117	0.107932194	0.100091689	0.100101284	0.100124769	0.158374832	0.100565664	0.102633117	0.104627185	0.103818361	0.100080037	0.100070801	0.10007766	0.10122931	0.12243999	0.100124048	0.100095111	0.100064818	0.101670266	0.105477159	0.10045212	0.104211914	0.100332761	0.128992598	0.11236728	0.101495771	0.100115529	0.100074925	0.100206536	0.101942565	0.114954827	0.109069232	0.111950409	0.100201881	0.100754779	0.107638459	0.100102984	0.100047815	0.10007417	0.102004946	0.118826579	0.157169656	0.101076536	0.14342763	0.10137507	0.102774201	0.100566734	0.102974757	0.100822773	0.102042233	0.100119279	0.110735487	0.100076997	0.138377994	0.114067979	0.100828159	0.100651379	0.100226202	0.101211889	0.100914513	0.101156784	0.1096295	0.111160751	0.100229369	0.100359371	0.100244141	0.108004615	0.100480872	0.104951556	0.100277772	0.108809698	0.101287193	0.128495034	0.108561513	0.102895762	0.121829671	0.102189102	0.14448839	0.103234434	0.100105405	0.115967335	0.100083462	0.105313076
miR-199a-5p	mmu-miR-199a-5p	MI0000713;MI0000241	MIMAT0000229;MIMAT0000229_1	mir-199a-2;mir-199a-1	miR-199-5p;miR-199-5p	A5	1	3.237292874	3.428079918	2.582875246	9.073590154	0.887930657	0.320305496	0.101441716	0.177392852	0.101309663	0.103818075	0.100907649	0.137322751	0.152375038	0.298558045	0.159590281	0.583081766	0.144492511	0.100983037	0.100639951	0.175651024	0.17028959	0.101937588	0.173411468	0.15910548	0.188610928	0.156152855	0.115248531	0.191005666	0.123830298	0.175626977	0.129274454	0.166103938	0.104311295	0.146180531	0.306240314	0.166635568	0.374169818	0.101232781	0.106761812	0.139673976	0.118122457	0.103060783	0.131231647	0.100936205	0.103532135	0.101518144	0.101628257	0.118729667	0.114646266	0.101243613	0.111754244	0.112633466	0.102389195	0.169076341	0.13036781	0.10348638	0.101192664	0.101037245	0.105579577	0.108696015	0.104582504	0.134775771	0.108272683	0.111404532	0.101830584	0.102884956	0.100462493	0.103828925	0.115827622	0.139065864	0.103552718	0.104239555	0.123014919	0.141400282	0.111040596	0.100125851	0.105317821	0.10610348	0.101511168	0.104462575	0.103405384	0.106954015	0.11455751	0.151868474	0.123218197	0.103345361	0.110928454	0.106435447	0.11599154	0.100964846	0.111739598	0.151355979	0.10253252	0.10806072	0.115733923	0.112111362	0.117760484	0.107021623	0.178075198	0.295870712	0.104163756	0.22866036	0.105148476	0.108177616	0.101936827	0.110807494	0.250204056	0.106481948	0.167924464	0.13859335	0.104988614	0.100427901	0.117045975	0.10269434	0.104708351	0.102610556	0.101406141	0.102785338	0.101349801	0.129209494	0.113078139	0.100795513	0.10481993	0.100865246	0.107980584	0.246215872	0.106560589	0.100982917	0.108797364	0.104479218	0.12895393	11.46386016	0.58165752	78.46026976	0.60468523	6.717297901	1.162804821	0.313109402	0.120321279	0.419117268	0.107297564
miR-369-5p	mmu-miR-369-5p	MI0003535	MIMAT0003185	mir-369	miR-369-5p	A6	1	0.100016057	0.100039096	0.100057409	0.100091484	0.718315337	0.100032951	0.100350879	0.100203083	0.100334671	0.100081639	0.100265637	0.10009932	0.121160195	0.100046601	0.100075169	0.100057937	0.100039339	0.219493555	0.198543139	0.112555932	0.104163647	0.118946629	0.100099585	0.101479377	0.103847389	0.100122687	0.100083857	0.100284922	0.100086597	0.100234373	0.100156414	0.107402796	0.101358337	0.130434277	0.10269567	0.106572152	0.101288774	0.10038287	0.102130408	0.100079662	0.100079096	0.100079727	0.108521606	0.100276592	0.103377633	0.100478496	0.101455891	0.101487873	0.112876744	0.100350461	0.111805035	0.100074961	0.100052826	0.10013654	0.103693191	0.100346934	0.100379985	0.100917119	0.101725117	0.107932194	0.100091689	0.100101284	0.100124769	0.114044349	0.100565664	0.102633117	0.100131226	0.103818361	0.140933382	0.100070801	0.10007766	0.10122931	0.12243999	0.100124048	0.100095111	0.100064818	0.101670266	0.105477159	0.10045212	0.104211914	0.100332761	0.102207307	0.100170953	0.101495771	0.100115529	0.112999432	0.100206536	0.101942565	0.114954827	0.100268393	0.111950409	0.100201881	0.100754779	0.107638459	0.100102984	0.100047815	0.10007417	0.102004946	0.100531836	0.480589967	0.204780914	0.124678814	0.10137507	0.102774201	0.100566734	0.102974757	0.163114652	0.102042233	0.100119279	0.100155197	0.100076997	0.100164763	0.112671078	0.100828159	0.100651379	0.100226202	0.101211889	0.100914513	0.101156784	0.1096295	0.111160751	0.124994572	0.100359371	0.100244141	0.108004615	0.100480872	0.104951556	0.100277772	0.108809698	0.101287193	0.128495034	0.145214538	0.102895762	0.192856796	0.102189102	0.174485664	0.316774413	0.100105405	0.115967335	0.131294571	0.105313076
miR-101a-3p	mmu-miR-101a-3p.1	MI0000148	MIMAT0000133	mir-101a	miR-101-3p.1	A7	1	2.510535716	5.845758106	1.114706687	4.658423541	3.578349981	14.1605254	0.818612964	38.21044194	5.549974569	5.393956397	9.55784819	1.706920803	3.138035044	13.69396569	1.238739691	20.6535074	0.917312334	26.03367645	37.7554017	0.16147536	0.419958012	2.895137233	2.441769893	0.436452754	0.436966767	0.599298127	5.521515216	0.593341778	0.867820209	0.882568938	0.653916219	1.210690336	1.91118478	0.183645448	0.900635613	0.303019611	1.986972692	0.230601667	0.585476305	6.893531659	5.889440131	3.963129772	0.989871733	0.118082726	0.210507053	7.349553354	16.21060909	5.129458161	0.801160349	38.37364583	0.926458885	4.819653442	9.339442002	1.232559676	3.907569088	4.594602625	0.315197781	6.077012573	0.114281154	0.749600052	2.626058632	1.623621403	2.440860939	1.675631809	7.093700277	3.651775129	0.820473408	0.297108615	0.483346859	1.073069364	9.397688035	0.379287327	0.911533571	1.560464434	5.270447981	1.914584569	2.529865188	1.726484805	0.24677318	0.272131278	0.194305464	0.609506258	12.46329058	8.190889853	1.393561962	1.669345921	0.999823237	2.85474272	5.230496568	1.09115479	0.641355206	0.61297425	1.796659146	0.488963603	0.583845508	2.402903704	1.458572041	3.89411859	5.195896586	4.713532494	0.454895772	7.001468918	1.433712095	2.791848324	0.844159138	12.72673501	1.705422416	3.411950044	3.148086522	5.470985233	4.25083625	5.135751537	0.497935811	0.695924509	10.19856614	5.34786471	54.80452827	0.769422124	7.868485234	0.685754333	0.578843438	0.604769855	24.3152801	0.704661912	0.458608383	1.963808882	0.368439524	2.084562265	12.84719749	0.433284139	1.122936877	6.842442644	0.294914254	22.9097963	0.276046563	1.267434535	2.977245209	6.682571514	0.975040417	6.859721633	0.432857964
miR-324-5p	mmu-miR-324-5p	MI0000595	MIMAT0000555	mir-324	miR-324-5p	A8	1	0.277290473	0.834818479	0.294381411	3.479281668	0.716656831	3.026531607	0.620541118	14.7350395	4.051699955	1.612130202	2.332397975	1.30607433	0.89987158	6.097120555	0.563273063	7.24990535	0.540094146	12.09992092	24.39136192	0.419023222	0.434292908	5.965538907	0.70757253	1.972990506	1.288898683	0.387573067	1.20505255	0.447964899	0.780511142	0.490326054	0.303453238	1.249869373	2.628587274	0.13326583	1.182499712	0.254871918	2.311453549	0.683237402	0.586895261	0.654262829	1.72680986	2.521803936	0.26267561	0.948494358	6.204571659	2.153267494	4.744340199	0.379873923	0.295783496	32.01394778	0.419773526	0.353594005	0.492501843	0.503841935	0.47217392	0.423324318	0.443911093	1.073195652	0.512551354	0.233885157	0.603523556	0.823579057	0.926660045	0.442981395	2.720259118	2.713014012	0.3973726	0.167640917	0.409849037	1.706512158	0.456396951	0.628898102	9.057004251	0.485156315	1.713527936	0.553007186	0.354318893	0.19120032	1.95694361	2.5928854	0.671194684	0.539547537	1.702353844	7.226391075	0.358251778	2.897204761	0.394663181	0.927722669	1.427240109	0.689800155	0.300445593	0.384494135	1.932381509	0.254823416	0.205755705	1.625453782	2.464704885	0.477907753	0.556010958	1.119203176	0.306221577	3.007980043	1.34778823	0.106171704	0.325514736	2.542387554	0.739500558	1.329582306	0.494606657	1.850818711	0.902502133	3.86064324	0.341808812	0.541209108	5.416335518	1.039955263	11.33124264	0.52459186	0.124671665	1.058277912	6.923927428	0.331709101	4.226207504	1.708528798	0.258840587	0.101092362	0.143453647	0.306912534	0.235195507	0.103066411	0.32947017	2.241383302	9.702523294	3.186879177	0.154852748	0.597216523	0.16215697	1.876095141	0.395189079	1.037769004	0.20380581
miR-292a-3p	mmu-miR-292a-3p	MI0000390	MIMAT0000370	mir-292a	miR-292a-3p/467a-5p	A9	1	0.100016057	0.100039096	0.110806547	0.100091484	0.100140469	0.153972953	0.100350879	0.10036491	0.100334671	0.147942241	0.100265637	0.103156972	0.111808402	0.134148544	0.100075169	0.112211477	0.100039339	0.114015128	0.102624804	0.179347855	0.149183938	0.100920929	0.121325633	0.127244465	0.102195567	0.120436992	0.101700392	0.100284922	0.109267542	0.100234373	0.100156414	0.1001371	0.101358337	0.19505741	0.107697186	0.162303608	0.101288774	0.105189269	0.102130408	0.100079662	0.139400947	0.100079727	0.12677075	0.100276592	0.103377633	0.100478496	0.101455891	0.101487873	0.112876744	0.399305951	0.111805035	0.100074961	0.129776682	0.101371774	0.100901321	0.12651187	0.100379985	0.13238855	0.101725117	0.107932194	0.100091689	0.100101284	0.118644896	0.100155406	0.100565664	0.102633117	0.100525295	0.103818361	0.114581208	0.102321076	0.10007766	0.10122931	0.12243999	0.100124048	0.114245846	0.100064818	0.101670266	0.105477159	0.113631578	0.104211914	0.100332761	0.104071637	0.100271066	0.101495771	0.100115529	0.100074925	0.100206536	0.101942565	0.114954827	0.100268393	0.111950409	0.119777276	0.100754779	0.107638459	0.125989204	0.100047815	0.119921953	0.102004946	0.100531836	0.218750339	0.101076536	0.143877415	0.10137507	0.102774201	0.100566734	0.102974757	0.100822773	0.102042233	0.100235218	0.100155197	0.111596443	0.100164763	0.133044534	0.100828159	0.127908875	0.100226202	0.101211889	0.100914513	0.261624425	0.1096295	0.111160751	0.100229369	0.123720605	0.100244141	0.108004615	0.100480872	0.104951556	0.100277772	0.108809698	0.101287193	0.128495034	0.100231355	0.102895762	0.100028132	0.102189102	0.100230541	0.103234434	0.116964615	0.115967335	0.133317506	0.105313076
miR-676-3p	mmu-miR-676-3p	MI0005003	MIMAT0003782	mir-676	miR-676-3p	A10	1	0.534723966	0.337310948	0.430744837	0.978607584	0.367310152	0.494903285	0.294824368	0.119809193	0.100334671	0.161040729	0.100265637	0.367615865	0.298167419	0.506157666	0.100075169	0.230664107	0.122120989	0.522530865	0.92351135	0.672231427	0.369389593	1.112213656	0.285744852	0.356364853	0.294838779	1.155383977	2.103745333	1.446907376	0.4640088	0.337937516	0.234144047	0.349048171	0.180146799	0.627880768	1.587930844	0.30113824	0.962180407	0.593423196	0.579802844	0.827156144	0.434425488	0.465046123	0.361086016	0.383168594	0.51565314	0.118554778	0.283731682	0.465764453	0.112876744	1.568033396	0.632796908	0.369571181	0.226004177	0.611913434	0.238256051	0.273644292	0.12473247	0.202136395	0.219307183	0.107932194	0.40065819	0.16645948	0.524001004	0.24989196	0.125912515	0.102633117	0.148092441	0.103818361	0.127585975	0.392717092	0.251185212	0.250305339	0.741604276	0.287920639	0.267716017	0.240104174	0.223049088	0.453090462	0.247182073	0.104211914	0.187329041	0.164536451	0.239323212	0.248746093	0.518946606	0.261795424	0.307624458	0.383285429	1.117874769	0.158738007	0.205813505	0.221444126	0.342721062	0.417534776	0.333856064	0.351332873	0.383815663	0.211381021	0.100531836	0.379754768	0.280688815	0.574625743	0.10137507	0.211451562	0.118986255	0.43026789	0.127169551	0.102042233	0.339724092	0.36639174	0.338508925	0.314569697	0.256584546	0.201428331	0.219883704	0.115618163	0.207654319	0.131076811	0.280638676	0.1096295	0.507432786	0.14503112	0.172766408	0.121962712	0.108004615	0.39489361	0.395961325	0.459544923	1.052430958	0.318138763	1.236599666	2.328107348	0.712044795	10.01528526	0.994592261	0.834083627	4.936260113	2.923399855	2.238743909	6.045434615	2.762578071
