"","Gene","Number of MREs"
"1","2010315B03Rik",2
"2","2610008E11Rik",3
"3","2610021A01Rik",1
"4","4930522L14Rik",2
"5","5430403G16Rik",1
"6","A430033K04Rik",1
"7","AI987944",4
"8","AU041133",1
"9","AW146154",2
"10","BC024063",7
"11","Gm14295",5
"12","Gm14305",5
"13","Gm14325",4
"14","Gm14326",7
"15","Gm14399",5
"16","Gm14410",2
"17","Gm32687",1
"18","Gm35315",1
"19","Gm45871",3
"20","Gm49359",1
"21","Gm7072",1
"22","Platr25",1
"23","Rbak",3
"24","Zfp113",2
"25","Zfp119a",3
"26","Zfp119b",1
"27","Zfp120",7
"28","Zfp157",2
"29","Zfp160",1
"30","Zfp180",2
"31","Zfp236",2
"32","Zfp24",2
"33","Zfp26",5
"34","Zfp260",3
"35","Zfp266",7
"36","Zfp273",1
"37","Zfp329",1
"38","Zfp39",2
"39","Zfp397",4
"40","Zfp40",1
"41","Zfp420",2
"42","Zfp426",1
"43","Zfp433",1
"44","Zfp445",1
"45","Zfp46",1
"46","Zfp51",3
"47","Zfp560",1
"48","Zfp583",2
"49","Zfp59",1
"50","Zfp599",3
"51","Zfp60",8
"52","Zfp606",4
"53","Zfp607a",5
"54","Zfp619",1
"55","Zfp62",5
"56","Zfp626",6
"57","Zfp667",2
"58","Zfp68",2
"59","Zfp709",2
"60","Zfp738",1
"61","Zfp74",2
"62","Zfp763",1
"63","Zfp780b",2
"64","Zfp799",1
"65","Zfp809",1
"66","Zfp810",4
"67","Zfp825",1
"68","Zfp84",2
"69","Zfp846",3
"70","Zfp850",4
"71","Zfp87",2
"72","Zfp873",6
"73","Zfp930",9
"74","Zfp931",2
"75","Zfp933",2
"76","Zfp935",2
"77","Zfp938",1
"78","Zfp940",1
"79","Zfp949",1
"80","Zfp950",1
"81","Zfp958",7
"82","Zfp97",8
"83","Zfp970",2
"84","Zfp971",8
"85","Zik1",1
"86","Zkscan1",5
"87","Zkscan3",1
"88","Zkscan7",2
"89","Zkscan8",1
"90","Zscan21",1
"91","Zscan29",1
