seqnames,start,end,width,strand,xHits,transcriptsHits,scoreSum,scoreMean,scoreMax,geneType,geneName,geneID,region,mir_IP,n_mir181,n_mir181a,n_mir181b,n_mir181c,n_mir181d,set,mir181BS_ID,WT,KO,geneID.2,geneName.1,region.1,counts.bs.1_KO,counts.bs.2_KO,counts.bs.3_KO,counts.bs.4_WT,counts.bs.5_WT,counts.bs.6_WT,geneID.1,counts.bg.1_KO,counts.bg.2_KO,counts.bg.3_KO,counts.bg.4_WT,counts.bg.5_WT,counts.bg.6_WT,resBs.baseMean,resBs.log2FoldChange,resBs.lfcSE,resBs.stat,resBs.pvalue,resBs.padj,resBg.baseMean,resBg.log2FoldChange,resBg.lfcSE,resBg.stat,resBg.pvalue,resBg.padj,tpm.counts.bg.1_KO,tpm.counts.bg.2_KO,tpm.counts.bg.3_KO,tpm.counts.bg.4_WT,tpm.counts.bg.5_WT,tpm.counts.bg.6_WT,BS_ID,tpm_support_KO,tpm_support_WT,tpm_supported,width_tx,transcript_type,transcript_support_level,transcript_id,all_seeds_200down,first_seed_200down.start,first_seed_200down.end,first_seed_200down.width,first_seed_200down.type,first_seed_200down.wobble,seed_repetitions.200down,seed_repetitions.200down.wobble
ENSMUST00000162257,1754,1760,7,*,3265,51,30.31085,10.103616666666667,17.1508,mature protein_coding RNA,Rb1cc1,ENSMUSG00000025907,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25403,NA,5,ENSMUST00000162257,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000182675,525,531,7,*,3266,84,9.21468,3.07156,5.53318,mature protein_coding RNA,Pcmtd1,ENSMUSG00000051285,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22440,NA,5,ENSMUST00000182675,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000115174,1773,1779,7,*,3267,390,7.1698059999999995,1.4339612,5.00224,mature protein_coding RNA,Rab23,ENSMUSG00000004768,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22155,protein_coding,1,ENSMUST00000115174,,34,40,7,seed_7mer_a1,FALSE,1,0
ENSMUST00000027252,4704,4710,7,*,3268,565,30.1699,15.08495,16.7482,mature protein_coding RNA,Eif5b,ENSMUSG00000026083,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57570,protein_coding,2,ENSMUST00000027252,,26,33,8,seed_8mer,FALSE,1,0
ENSMUST00000168431,4695,4701,7,*,3269,606,69.09709,23.032363333333333,56.3773,mature protein_coding RNA,Map4k4,ENSMUSG00000026074,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125398,protein_coding,5,ENSMUST00000168431,,48,53,6,seed_6mer,TRUE,0,1
ENSMUST00000168431,5440,5446,7,*,3270,606,30.33934,7.584835,17.146,mature protein_coding RNA,Map4k4,ENSMUSG00000026074,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125398,protein_coding,5,ENSMUST00000168431,,11,17,7,seed_7mer_a1,FALSE,1,0
ENSMUST00000086421,2128,2134,7,*,3271,695,15.94171,3.9854275,7.45828,mature protein_coding RNA,Nck2,ENSMUSG00000066877,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7137,1,1,ENSMUSG00000066877,Nck2,utr3,62,93,44,67,66,56,ENSMUSG00000066877,5026,7988,4386,8478,6584,3537,654.2417437983855,0.3071485357086828,0.21631283309714203,2.003163744009555,0.15697127273379344,0.5659920015089769,NA,NA,NA,NA,NA,NA,1377.3875856224627,1575.2874426698208,1502.5578275411979,1482.1666290357614,1423.5269343209438,1410.7364888688815,ENSMUSG00000066877.bs29,3,3,TRUE,124765,protein_coding,1,ENSMUST00000086421,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000050552,2393,2399,7,*,3272,946,16.573377,8.2866885,15.5816,mature protein_coding RNA,Bzw1,ENSMUSG00000051223,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14456,protein_coding,1,ENSMUST00000050552,,12,17,6,seed_6mer,TRUE,0,1
ENSMUST00000050552,3724,3730,7,*,3273,946,5.108421,2.5542105,4.33064,mature protein_coding RNA,Bzw1,ENSMUSG00000051223,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14456,protein_coding,1,ENSMUST00000050552,,20,25,6,seed_alt_38,TRUE,0,0
ENSMUST00000069333,2260,2266,7,*,3274,977,165.0983,41.274575,92.2401,mature protein_coding RNA,Cflar,ENSMUSG00000026031,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7146,0,1,ENSMUSG00000026031,Cflar,utr3,6,14,11,24,23,10,ENSMUSG00000026031,1371,1785,1002,2308,1960,1040,148.28418454997723,-0.3288789163346797,0.3315816576895702,1.001806233364107,0.316873846623254,0.7352452774794878,NA,NA,NA,NA,NA,NA,132.1224161537023,123.78423799774255,120.70789090978215,141.887715203669,149.01751269499331,145.86448106479787,ENSMUSG00000026031.bs4,3,3,TRUE,41849,protein_coding,1,ENSMUST00000069333,,21,28,8,seed_8mer,FALSE,1,0
ENSMUST00000114313,5649,5655,7,*,3275,974,23.99248,5.99812,9.82858,mature protein_coding RNA,Cflar,ENSMUSG00000026031,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47325,protein_coding,1,ENSMUST00000114313,,9,15,7,seed_7mer_a1,TRUE,0,1
ENSMUST00000190876,1083,1089,7,*,3276,1189,16.378709999999998,8.189354999999999,11.5847,mature protein_coding RNA,Creb1,ENSMUSG00000025958,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64609,NA,5,ENSMUST00000190876,,118,123,6,seed_6mer,FALSE,1,0
ENSMUST00000134566,2131,2137,7,*,3277,1575,34.430279999999996,8.607569999999999,10.9316,mature protein_coding RNA,Acsl3,ENSMUSG00000032883,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49019,protein_coding,1,ENSMUST00000134566,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000066427,2065,2071,7,*,3278,1716,22.923916,5.730979,9.10168,mature protein_coding RNA,Sp100,ENSMUSG00000026222,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59949,protein_coding,1,ENSMUST00000066427,,165,171,7,seed_7mer_a1,FALSE,1,0
ENSMUST00000113360,2795,2801,7,*,3279,1727,10.34546,5.17273,8.63759,mature protein_coding RNA,Cab39,ENSMUSG00000036707,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58136,protein_coding,1,ENSMUST00000113360,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000113360,3191,3197,7,*,3280,1727,6.2031,2.0677,2.15534,mature protein_coding RNA,Cab39,ENSMUSG00000036707,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58136,protein_coding,1,ENSMUST00000113360,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000076362,1125,1131,7,*,3281,1831,43.16919,8.633837999999999,15.2823,mature protein_coding RNA,Eif4e2,ENSMUSG00000026254,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26575,protein_coding,1,ENSMUST00000076362,,52,57,6,seed_alt_38,FALSE,0,0
ENSMUST00000113190,2629,2635,7,*,3282,1889,1.452003,0.7260015,0.88127,mature protein_coding RNA,Atg16l1,ENSMUSG00000026289,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7166,1,1,ENSMUSG00000026289,Atg16l1,utr3,15,18,5,17,13,7,ENSMUSG00000026289,681,904,531,1154,864,513,108.40583289558931,0.4901584664291718,0.3485797047755628,1.9738517034699044,0.16003961821051405,0.5708728072636576,NA,NA,NA,NA,NA,NA,86.35598034339912,82.49009658563747,84.17220724069436,93.35144702509774,86.43730860667866,94.67598488212377,ENSMUSG00000026289.bs4,3,3,TRUE,36340,protein_coding,1,ENSMUST00000113190,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000113190,2832,2838,7,*,3283,1889,4.03722,2.01861,2.27661,mature protein_coding RNA,Atg16l1,ENSMUSG00000026289,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36340,protein_coding,1,ENSMUST00000113190,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000190061,1480,1486,7,*,3284,1912,53.28678,13.321695,18.1146,mature protein_coding RNA,Dgkd,ENSMUSG00000070738,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10784,protein_coding,5,ENSMUST00000190061,,31,36,6,seed_6mer,FALSE,1,0
ENSMUST00000190061,2546,2552,7,*,3285,1912,2.9182900000000003,1.4591450000000001,2.15784,mature protein_coding RNA,Dgkd,ENSMUSG00000070738,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10784,protein_coding,5,ENSMUST00000190061,,35,40,6,seed_6mer,FALSE,1,0
ENSMUST00000097649,2412,2418,7,*,3286,2005,5.5108,1.8369333333333333,2.32479,mature protein_coding RNA,Lrrfip1,ENSMUSG00000026305,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63862,protein_coding,1,ENSMUST00000097649,,84,90,7,seed_7mer_m8,FALSE,1,0
ENSMUST00000027495,1680,1686,7,*,3287,2135,1.149844,0.574922,0.574922,mature protein_coding RNA,Sept2,ENSMUSG00000026276,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31297,protein_coding,1,ENSMUST00000027495,,18,23,6,seed_6mer,FALSE,1,0
ENSMUST00000027495,2031,2037,7,*,3288,2135,6.00087,3.000435,3.24303,mature protein_coding RNA,Sept2,ENSMUSG00000026276,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31297,protein_coding,1,ENSMUST00000027495,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000027505,4310,4316,7,*,3289,2172,5.810644,1.9368813333333332,5.00998,mature protein_coding RNA,Ing5,ENSMUSG00000026283,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18131,protein_coding,1,ENSMUST00000027505,,7,12,6,seed_6mer,FALSE,2,0
ENSMUST00000112570,2528,2534,7,*,3290,2500,0.7659509999999999,0.38297549999999997,0.561205,mature protein_coding RNA,Ccnt2,ENSMUSG00000026349,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31769,protein_coding,1,ENSMUST00000112570,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000112570,2766,2772,7,*,3291,2500,68.26994,17.067485,40.698,mature protein_coding RNA,Ccnt2,ENSMUSG00000026349,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31769,protein_coding,1,ENSMUST00000112570,,16,21,6,seed_6mer,FALSE,1,0
ENSMUST00000112570,2928,2934,7,*,3292,2500,20.2236,10.1118,10.1118,mature protein_coding RNA,Ccnt2,ENSMUSG00000026349,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7187,1,1,ENSMUSG00000026349,Ccnt2,utr3,16,15,11,24,20,17,ENSMUSG00000026349,2418,3235,1941,3490,3011,1706,208.4315958991804,-0.22565141853018342,0.2994625927506086,0.5713704220427189,0.44971486052538384,0.820893781782121,NA,NA,NA,NA,NA,NA,239.13689762552565,230.22509135512968,239.96324014149383,220.18395062604142,234.93257356734827,245.5536989983901,ENSMUSG00000026349.bs13,3,3,TRUE,31769,protein_coding,1,ENSMUST00000112570,,NA,NA,NA,NA,NA,NA,NA
ENSMUST00000062264,5558,5564,7,*,3293,2612,23.09498,7.6983266666666665,11.3652,mature protein_coding RNA,Nucks1,ENSMUSG00000026434,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7191,1,1,ENSMUSG00000026434,Nucks1,utr3,5,11,9,27,6,7,ENSMUSG00000026434,1542,2368,1398,2254,1806,929,127.40101501078874,-0.577492451292957,0.3891278620757412,2.2496526248155533,0.13364440043304082,0.5313615600105126,NA,NA,NA,NA,NA,NA,277.7155056302866,306.89197166450947,314.7399082010886,258.96412534996614,256.61124693374524,243.50541771486317,ENSMUSG00000026434.bs17,3,3,TRUE,25766,protein_coding,1,ENSMUST00000062264,,183,188,6,seed_alt_38,TRUE,0,0
ENSMUST00000086556,3640,3646,7,*,3294,2620,1.2947048,0.6473524,1.23696,mature protein_coding RNA,Elk4,ENSMUSG00000026436,utr3,NA,NA,NA,NA,NA,NA,mir181_enriched,7192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18842,protein_coding,1,ENSMUST00000086556,,NA,NA,NA,NA,NA,NA,NA
